Topic,Term,Value
0,"""stonewall"" ",0.092
0,"""statue"" ", 0.090
0,"""jackson"" ", 0.087
0,"""petition"" ", 0.027
0,"""sign"" ", 0.026
0,"""change"" ", 0.022
0,"""issue"" ", 0.020
0,"""racism"" ", 0.017
0,"""lee"" ", 0.016
0,"""address""", 0.016
1,"""jackson"" ",0.070
1,"""stonewall"" ", 0.059
1,"""statue"" ", 0.059
1,"""petition"" ", 0.021
1,"""change"" ", 0.021
1,"""sign"" ", 0.018
1,"""school"" ", 0.015
1,"""racism"" ", 0.015
1,"""issue"" ", 0.015
1,"""address""", 0.015
2,"""statue"" ",0.112
2,"""jackson"" ", 0.083
2,"""stonewall"" ", 0.077
2,"""robert"" ", 0.016
2,"""monument"" ", 0.015
2,"""lee"" ", 0.012
2,"""mayor"" ", 0.011
2,"""baltimore"" ", 0.010
2,"""birthplace"" ", 0.007
2,"""sign""", 0.007
3,"""statue"" ",0.115
3,"""jackson"" ", 0.104
3,"""stonewall"" ", 0.093
3,"""person"" ", 0.034
3,"""monument"" ", 0.013
3,"""lee"" ", 0.011
3,"""robert"" ", 0.011
3,"""american"" ", 0.009
3,"""capitol"" ", 0.007
3,"""thing""", 0.007
4,"""jackson"" ",0.068
4,"""stonewall"" ", 0.067
4,"""statue"" ", 0.066
4,"""capitol"" ", 0.019
4,"""petition"" ", 0.018
4,"""county"" ", 0.018
4,"""courthouse"" ", 0.018
4,"""protester"" ", 0.017
4,"""sign"" ", 0.016
4,"""state""", 0.015
5,"""statue"" ",0.058
5,"""stonewall"" ", 0.047
5,"""jackson"" ", 0.043
5,"""robert"" ", 0.012
5,"""racist"" ", 0.012
5,"""party"" ", 0.012
5,"""sen"" ", 0.012
5,"""monument"" ", 0.010
5,"""bird"" ", 0.009
5,"""wizard""", 0.009
6,"""statue"" ",0.071
6,"""jackson"" ", 0.066
6,"""stonewall"" ", 0.060
6,"""call"" ", 0.017
6,"""county"" ", 0.017
6,"""news"" ", 0.015
6,"""war"" ", 0.010
6,"""father"" ", 0.010
6,"""courthouse"" ", 0.008
6,"""west""", 0.008
7,"""statue"" ",0.115
7,"""stonewall"" ", 0.082
7,"""jackson"" ", 0.079
7,"""lee"" ", 0.028
7,"""robert"" ", 0.020
7,"""baltimore"" ", 0.017
7,"""mayor"" ", 0.012
7,"""monument"" ", 0.011
7,"""amp"" ", 0.010
7,"""year""", 0.008
8,"""statue"" ",0.073
8,"""jackson"" ", 0.070
8,"""stonewall"" ", 0.068
8,"""father"" ", 0.027
8,"""monument"" ", 0.026
8,"""dedication"" ", 0.024
8,"""robert"" ", 0.021
8,"""mayor"" ", 0.020
8,"""park"" ", 0.017
8,"""petition""", 0.017
9,"""jackson"" ",0.076
9,"""statue"" ", 0.074
9,"""stonewall"" ", 0.058
9,"""county"" ", 0.017
9,"""monument"" ", 0.014
9,"""commission"" ", 0.013
9,"""fact"" ", 0.009
9,"""removal"" ", 0.009
9,"""today"" ", 0.008
9,"""petition""", 0.008
