Topic,Term,Value
0,b'near ',0.089
0,b'see ', 0.072
0,b'cycle ', 0.072
0,b'westham ', 0.055
0,b'iconic ', 0.044
0,b'touched ', 0.038
0,b'churchill ', 0.038
0,b'stadiumamp ', 0.036
0,b'place ', 0.036
0,b'cyclegot ', 0.035
0,b'stupid ', 0.034
0,b'cattle ', 0.031
0,b'wecycle ', 0.031
0,b'greenway ', 0.031
0,b'thanks ', 0.029
0,b'newhamcyclists ', 0.026
0,b'lovely ', 0.026
0,b'really ', 0.023
0,b'sarahiles ', 0.021
0,b'criminal', 0.020
1,b'night ',0.086
1,b'minute ', 0.068
1,b'newhamcyclists ', 0.059
1,b'near ', 0.058
1,b'criminal ', 0.053
1,b'cattle ', 0.048
1,b'late ', 0.043
1,b'churchill ', 0.043
1,b'statue ', 0.036
1,b'iconic ', 0.036
1,b'sarahiles ', 0.036
1,b'evening ', 0.035
1,b'like ', 0.033
1,b'anglo ', 0.032
1,b'caught ', 0.031
1,b'westham ', 0.029
1,b'thanks ', 0.028
1,b'place ', 0.027
1,b'touched ', 0.024
1,b'cyclegot', 0.024
2,b'really ',0.107
2,b'anglo ', 0.073
2,b'light ', 0.070
2,b'sarahiles ', 0.060
2,b'cyclegot ', 0.058
2,b'kent ', 0.047
2,b'newhamhospital ', 0.045
2,b'last ', 0.041
2,b'saxon ', 0.041
2,b'wecycle ', 0.034
2,b'cattle ', 0.033
2,b'minute ', 0.033
2,b'see ', 0.029
2,b'statue ', 0.029
2,b'newhamcyclists ', 0.029
2,b'criminal ', 0.028
2,b'churchill ', 0.024
2,b'people ', 0.023
2,b'like ', 0.021
2,b'thanks', 0.020
3,b'anglo ',0.096
3,b'newhamcyclists ', 0.083
3,b'newhamhospital ', 0.082
3,b'caught ', 0.069
3,b'light ', 0.067
3,b'company ', 0.057
3,b'iconic ', 0.053
3,b'last ', 0.048
3,b'kent ', 0.047
3,b'place ', 0.041
3,b'lovemybrompton ', 0.031
3,b'night ', 0.028
3,b'people ', 0.025
3,b'saxon ', 0.024
3,b'sarahiles ', 0.022
3,b'cyclegot ', 0.020
3,b'churchill ', 0.018
3,b'statue ', 0.018
3,b'see ', 0.018
3,b'near', 0.018
4,b'churchill ',0.108
4,b'sarahiles ', 0.080
4,b'stupid ', 0.059
4,b'saxon ', 0.055
4,b'wecycle ', 0.050
4,b'westham ', 0.049
4,b'touched ', 0.047
4,b'criminal ', 0.044
4,b'stadiumamp ', 0.042
4,b'like ', 0.038
4,b'caught ', 0.033
4,b'newhamcyclists ', 0.033
4,b'work ', 0.029
4,b'rushed ', 0.028
4,b'anglo ', 0.026
4,b'near ', 0.026
4,b'light ', 0.025
4,b'late ', 0.025
4,b'newhamhospital ', 0.024
4,b'really', 0.022
5,b'near ',0.098
5,b'herded ', 0.092
5,b'really ', 0.067
5,b'beginning ', 0.065
5,b'rushed ', 0.059
5,b'sarahiles ', 0.046
5,b'churchill ', 0.045
5,b'newhamhospital ', 0.043
5,b'company ', 0.042
5,b'lovely ', 0.032
5,b'cattle ', 0.030
5,b'people ', 0.030
5,b'lovemybrompton ', 0.029
5,b'like ', 0.027
5,b'stadiumamp ', 0.026
5,b'wecycle ', 0.026
5,b'anglo ', 0.024
5,b'touched ', 0.021
5,b'light ', 0.020
5,b'thanks', 0.019
6,b'kent ',0.093
6,b'thanks ', 0.077
6,b'greenway ', 0.076
6,b'night ', 0.074
6,b'statue ', 0.064
6,b'cattle ', 0.061
6,b'lovemybrompton ', 0.050
6,b'like ', 0.037
6,b'criminal ', 0.034
6,b'last ', 0.034
6,b'late ', 0.031
6,b'company ', 0.029
6,b'iconic ', 0.027
6,b'wecycle ', 0.024
6,b'cycle ', 0.023
6,b'rushed ', 0.021
6,b'beginning ', 0.021
6,b'minute ', 0.019
6,b'light ', 0.019
6,b'saxon', 0.018
7,b'rushed ',0.107
7,b'company ', 0.104
7,b'minute ', 0.068
7,b'criminal ', 0.064
7,b'evening ', 0.054
7,b'lovely ', 0.050
7,b'beginning ', 0.038
7,b'cyclegot ', 0.034
7,b'newhamhospital ', 0.033
7,b'iconic ', 0.031
7,b'sarahiles ', 0.029
7,b'churchill ', 0.027
7,b'night ', 0.025
7,b'kent ', 0.025
7,b'work ', 0.024
7,b'stupid ', 0.024
7,b'thanks ', 0.023
7,b'touched ', 0.022
7,b'cycle ', 0.021
7,b'place', 0.020
8,b'place ',0.111
8,b'wecycle ', 0.074
8,b'work ', 0.072
8,b'beginning ', 0.060
8,b'newhamhospital ', 0.046
8,b'cattle ', 0.046
8,b'stupid ', 0.045
8,b'lovely ', 0.042
8,b'cyclegot ', 0.042
8,b'see ', 0.039
8,b'greenway ', 0.038
8,b'late ', 0.037
8,b'herded ', 0.031
8,b'light ', 0.029
8,b'sarahiles ', 0.026
8,b'really ', 0.025
8,b'churchill ', 0.017
8,b'lovemybrompton ', 0.017
8,b'westham ', 0.016
8,b'like', 0.016
9,b'cattle ',0.084
9,b'really ', 0.080
9,b'cycle ', 0.078
9,b'wecycle ', 0.073
9,b'company ', 0.070
9,b'churchill ', 0.061
9,b'beginning ', 0.048
9,b'rushed ', 0.042
9,b'criminal ', 0.041
9,b'caught ', 0.034
9,b'lovemybrompton ', 0.033
9,b'work ', 0.029
9,b'minute ', 0.027
9,b'sarahiles ', 0.026
9,b'evening ', 0.024
9,b'iconic ', 0.024
9,b'newhamhospital ', 0.024
9,b'see ', 0.023
9,b'lovely ', 0.021
9,b'touched', 0.019
