Model,Score
"LdaModel(num_terms=2467, num_topics=1, decay=0.5, chunksize=100)",-23.4082965431005
"LdaModel(num_terms=2467, num_topics=2, decay=0.5, chunksize=100)",-22.630417067822435
"LdaModel(num_terms=2467, num_topics=3, decay=0.5, chunksize=100)",-22.26492528738733
"LdaModel(num_terms=2467, num_topics=4, decay=0.5, chunksize=100)",-21.950901855704124
"LdaModel(num_terms=2467, num_topics=5, decay=0.5, chunksize=100)",-21.70574406317414
"LdaModel(num_terms=2467, num_topics=6, decay=0.5, chunksize=100)",-21.377770292161443
"LdaModel(num_terms=2467, num_topics=7, decay=0.5, chunksize=100)",-21.199689869018506
"LdaModel(num_terms=2467, num_topics=8, decay=0.5, chunksize=100)",-20.795470052393078
"LdaModel(num_terms=2467, num_topics=9, decay=0.5, chunksize=100)",-20.199412475309682
"LdaModel(num_terms=2467, num_topics=10, decay=0.5, chunksize=100)",-20.124171561785403
"LdaModel(num_terms=2467, num_topics=11, decay=0.5, chunksize=100)",-19.836826038421407
"LdaModel(num_terms=2467, num_topics=12, decay=0.5, chunksize=100)",-19.78399221795826
"LdaModel(num_terms=2467, num_topics=13, decay=0.5, chunksize=100)",-19.78552283983349
"LdaModel(num_terms=2467, num_topics=14, decay=0.5, chunksize=100)",-19.625928188430606
"LdaModel(num_terms=2467, num_topics=15, decay=0.5, chunksize=100)",-19.67468632622275
"LdaModel(num_terms=2467, num_topics=16, decay=0.5, chunksize=100)",-19.919291752206895
"LdaModel(num_terms=2467, num_topics=17, decay=0.5, chunksize=100)",-19.79553751518892
"LdaModel(num_terms=2467, num_topics=18, decay=0.5, chunksize=100)",-19.879322474687044
"LdaModel(num_terms=2467, num_topics=19, decay=0.5, chunksize=100)",-19.54578056189403
"LdaModel(num_terms=2467, num_topics=20, decay=0.5, chunksize=100)",-19.624107786177376
