Topic,Term,Value
0,"b'""really"" '",0.137
0,"b'""cycle"" '", 0.137
0,"b'""newhamcyclists"" '", 0.137
0,"b'""stadiumamp"" '", 0.137
0,"b'""statue"" '", 0.013
0,"b'""churchill"" '", 0.012
0,"b'""greenway"" '", 0.012
0,"b'""work"" '", 0.012
0,"b'""company"" '", 0.012
0,"b'""newhamhospital""'", 0.012
1,"b'""caught"" '",0.183
1,"b'""near"" '", 0.183
1,"b'""statue"" '", 0.017
1,"b'""churchill"" '", 0.017
1,"b'""sarahiles"" '", 0.017
1,"b'""greenway"" '", 0.017
1,"b'""company"" '", 0.017
1,"b'""beginning"" '", 0.017
1,"b'""cycle"" '", 0.017
1,"b'""newhamhospital""'", 0.017
2,"b'""churchill"" '",0.344
2,"b'""work"" '", 0.122
2,"b'""herded"" '", 0.122
2,"b'""statue"" '", 0.011
2,"b'""greenway"" '", 0.011
2,"b'""people"" '", 0.011
2,"b'""anglo"" '", 0.011
2,"b'""sarahiles"" '", 0.011
2,"b'""cycle"" '", 0.011
2,"b'""newhamhospital""'", 0.011
3,"b'""criminal"" '",0.122
3,"b'""anglo"" '", 0.122
3,"b'""kent"" '", 0.122
3,"b'""people"" '", 0.122
3,"b'""minute"" '", 0.122
3,"b'""statue"" '", 0.011
3,"b'""churchill"" '", 0.011
3,"b'""greenway"" '", 0.011
3,"b'""beginning"" '", 0.011
3,"b'""newhamhospital""'", 0.011
4,"b'""lovely"" '",0.137
4,"b'""last"" '", 0.137
4,"b'""cyclegot"" '", 0.137
4,"b'""late"" '", 0.137
4,"b'""statue"" '", 0.013
4,"b'""churchill"" '", 0.013
4,"b'""herded"" '", 0.013
4,"b'""company"" '", 0.013
4,"b'""saxon"" '", 0.013
4,"b'""newhamcyclists""'", 0.013
5,"b'""statue"" '",0.310
5,"b'""westham"" '", 0.110
5,"b'""stupid"" '", 0.110
5,"b'""like"" '", 0.110
5,"b'""churchill"" '", 0.010
5,"b'""greenway"" '", 0.010
5,"b'""thanks"" '", 0.010
5,"b'""newhamhospital"" '", 0.010
5,"b'""touched"" '", 0.010
5,"b'""wecycle""'", 0.010
6,"b'""greenway"" '",0.262
6,"b'""evening"" '", 0.137
6,"b'""touched"" '", 0.137
6,"b'""statue"" '", 0.013
6,"b'""churchill"" '", 0.012
6,"b'""cyclegot"" '", 0.012
6,"b'""really"" '", 0.012
6,"b'""beginning"" '", 0.012
6,"b'""cycle"" '", 0.012
6,"b'""newhamhospital""'", 0.012
7,"b'""thanks"" '",0.110
7,"b'""company"" '", 0.110
7,"b'""lovemybrompton"" '", 0.110
7,"b'""beginning"" '", 0.110
7,"b'""saxon"" '", 0.110
7,"b'""see"" '", 0.110
7,"b'""churchill"" '", 0.010
7,"b'""statue"" '", 0.010
7,"b'""greenway"" '", 0.010
7,"b'""near""'", 0.010
8,"b'""wecycle"" '",0.137
8,"b'""iconic"" '", 0.137
8,"b'""rushed"" '", 0.137
8,"b'""sarahiles"" '", 0.137
8,"b'""statue"" '", 0.013
8,"b'""churchill"" '", 0.013
8,"b'""greenway"" '", 0.013
8,"b'""like"" '", 0.013
8,"b'""company"" '", 0.013
8,"b'""beginning""'", 0.013
9,"b'""light"" '",0.122
9,"b'""cattle"" '", 0.122
9,"b'""newhamhospital"" '", 0.122
9,"b'""place"" '", 0.122
9,"b'""night"" '", 0.122
9,"b'""statue"" '", 0.011
9,"b'""churchill"" '", 0.011
9,"b'""greenway"" '", 0.011
9,"b'""cycle"" '", 0.011
9,"b'""kent""'", 0.011
