Topic,Term,Value
0,"b'""wellington"" '",0.586
0,"b'""cone"" '", 0.189
0,"b'""extinction"" '", 0.001
0,"b'""extinctionr"" '", 0.001
0,"b'""dippy"" '", 0.001
0,"b'""dinosaur"" '", 0.001
0,"b'""laid"" '", 0.001
0,"b'""claim"" '", 0.001
0,"b'""dawn"" '", 0.000
0,"b'""figure""'", 0.000
1,"b'""positioning"" '",0.000
1,"b'""especially"" '", 0.000
1,"b'""combination"" '", 0.000
1,"b'""catwalk"" '", 0.000
1,"b'""stately"" '", 0.000
1,"b'""medium"" '", 0.000
1,"b'""the_ssp_"" '", 0.000
1,"b'""reconsider"" '", 0.000
1,"b'""pose"" '", 0.000
1,"b'""area""'", 0.000
2,"b'""duke"" '",0.136
2,"b'""statue"" '", 0.135
2,"b'""equestrian"" '", 0.018
2,"b'""photo"" '", 0.017
2,"b'""moved"" '", 0.011
2,"b'""famous"" '", 0.011
2,"b'""year"" '", 0.010
2,"b'""green"" '", 0.009
2,"b'""may"" '", 0.009
2,"b'""since""'", 0.008
3,"b'""glasgow"" '",0.521
3,"b'""scotland"" '", 0.053
3,"b'""back"" '", 0.014
3,"b'""saturday"" '", 0.001
3,"b'""symbolic"" '", 0.000
3,"b'""coming"" '", 0.000
3,"b'""constitution"" '", 0.000
3,"b'""championship"" '", 0.000
3,"b'""extinction"" '", 0.000
3,"b'""warning""'", 0.000
4,"b'""like"" '",0.087
4,"b'""day"" '", 0.024
4,"b'""got"" '", 0.017
4,"b'""symbolic"" '", 0.000
4,"b'""coming"" '", 0.000
4,"b'""constitution"" '", 0.000
4,"b'""championship"" '", 0.000
4,"b'""extinction"" '", 0.000
4,"b'""warning"" '", 0.000
4,"b'""spring""'", 0.000
5,"b'""today"" '",0.135
5,"b'""centre"" '", 0.025
5,"b'""part"" '", 0.006
5,"b'""area"" '", 0.000
5,"b'""attached"" '", 0.000
5,"b'""stately"" '", 0.000
5,"b'""medium"" '", 0.000
5,"b'""the_ssp_"" '", 0.000
5,"b'""reconsider"" '", 0.000
5,"b'""positioning""'", 0.000
6,"b'""city"" '",0.248
6,"b'""iconic"" '", 0.060
6,"b'""goma"" '", 0.026
6,"b'""giant"" '", 0.000
6,"b'""list"" '", 0.000
6,"b'""morleyfox"" '", 0.000
6,"b'""fred"" '", 0.000
6,"b'""cleaning"" '", 0.000
6,"b'""spring"" '", 0.000
6,"b'""able""'", 0.000
7,"b'""head"" '",0.248
7,"b'""original"" '", 0.000
7,"b'""ireland"" '", 0.000
7,"b'""coming"" '", 0.000
7,"b'""list"" '", 0.000
7,"b'""championship"" '", 0.000
7,"b'""question"" '", 0.000
7,"b'""giant"" '", 0.000
7,"b'""able"" '", 0.000
7,"b'""fred""'", 0.000
8,"b'""aldershot"" '",0.325
8,"b'""traffic"" '", 0.200
8,"b'""good"" '", 0.030
8,"b'""symbolic"" '", 0.000
8,"b'""coming"" '", 0.000
8,"b'""constitution"" '", 0.000
8,"b'""championship"" '", 0.000
8,"b'""warning"" '", 0.000
8,"b'""extinction"" '", 0.000
8,"b'""morleyfox""'", 0.000
9,"b'""one"" '",0.162
9,"b'""london"" '", 0.158
9,"b'""horse"" '", 0.053
9,"b'""symbolic"" '", 0.000
9,"b'""coming"" '", 0.000
9,"b'""championship"" '", 0.000
9,"b'""constitution"" '", 0.000
9,"b'""extinction"" '", 0.000
9,"b'""warning"" '", 0.000
9,"b'""spring""'", 0.000
