Date,Mean Score,Median Score,Tweets,Retweets,Standard Deviation,Top 15
2020-05-31,-0.018865469685141814,-0.018865469685141814,2,1,0.0029924538121259437,"['like', 'colston', 'statue', 'maybe', 'need', 'slavery', 'museum', 'liverpool', 'first', 'exhibit', 'shocking', 'footage', 'police', 'violence', 'protesters']"
2020-05-30,0.009996582365003417,0.009996582365003417,2,0,0.029477101845522897,"['statue', 'colston', 'hall', 'bristol', 'literally', 'huge', 'edward', 'city', 'centre', 'tell', 'much', 'care', 'know', 'airbrush', 'thatliterally']"
2020-05-29,-0.04819277108433735,-0.04819277108433735,1,0,0.0,"['apology', 'better', 'none', 'partition', 'india', 'fuck', 'see', 'bristol', 'edward', 'colston', 'made', 'bob', 'back', 'day', 'might']"
2020-05-28,0.0,0.0,1,0,0.0,"['need', 'statue', 'streets', 'school', 'music', 'hall', 'named', 'colston']"
2020-05-23,-0.026968503937007875,-0.003937007874015748,4,8,0.042287111823812853,"['colston', 'statue', 'evoke', 'happens', 'bristol', 'city', 'centre', 'ask', 'questions', 'agree', 'auschwitz', 'place', 'bearing', 'witness', 'horror']"
2020-04-29,0.0,0.0,1,0,0.0,"['game', 'watching', 'katrina', 'drew1st', 'dome', 'rookies', 'bush', 'colston', 'harper', 'making', 'huge', 'plays', 'gleason', 'statue', 'moment']"
2020-04-27,0.056338028169014086,0.056338028169014086,1,18,0.0,"['council', 'give', 'colston', 'spot', 'also', 'keep', 'statue', 'clean', 'one', 'justice', 'sam', 'morley']"
2020-04-15,-0.01764705882352941,-0.01764705882352941,1,8,0.0,"['another', 'museumsunlocked', 'bristol', 'unauthorised', 'intervention', 'statue', 'edward', 'colston', 'harbour', 'bringing', 'together', 'current', 'historical', 'accounts', 'slavery']"
2020-04-01,-0.06,-0.06,1,0,0.0,"['bristolapologists', 'slavery', 'given', 'colstonstatue', 'mask']"
2020-03-02,0.02857142857142857,0.02857142857142857,1,0,0.0,"['one', 'hand', 'city', 'part', 'issue', 'living', 'bristol', 'really', 'cool', 'nice', 'greta', 'thunberg', 'dropping', 'statue', 'colston']"
2020-02-23,0.0,0.0,1,0,0.0,"['cpl', 'gagnon', 'flag', 'larger', 'original', 'carried', 'hill', 'buried', 'arlington', 'hundred', 'yards', 'within', 'sight', 'marine', 'memorial']"
2020-02-03,-0.008620689655172414,0.0,3,0,0.012191496227354267,"['colston', 'statue', 'museum', 'slave', 'could', 'lie', 'symbolicallon', 'side', 'floor', 'maybe', 'thinking', 'space', 'piece', 'public', 'sculpture']"
2020-01-30,-0.03968253968253968,-0.03968253968253968,1,0,0.0,"['statue', 'edward', 'colston', 'visit', 'controversial', 'well-known', 'slave', 'trader', 'seemed', 'fitting', 'bristol', 'memorystudiessw']"
2020-01-16,0.0,0.0,1,0,0.0,"['citizens', 'assembly', 'calls', 'bigger', 'statue', 'edward', 'colston', 'college', 'green', 'bantz', 'bristol', 'city', 'council']"
2019-12-24,-0.026490066225165563,-0.026490066225165563,1,0,0.0,"['doubt', 'christmas', 'pudding', 'ever', 'face', 'calls', 'banned', 'links', 'slave', 'trade', 'degrees', 'remoteness', 'important', '100', 'human']"
2019-12-16,0.00558659217877095,0.00558659217877095,1,0,0.0,"['bristolcouncil', 'pedestriancycle', 'crossings', 'bus', 'gate', 'crossing', 'centre', 'next', 'colston', 'statue', 'put', 'use', 'thereno', 'explanation', 'visible']"
2019-12-14,-0.023255813953488372,-0.023255813953488372,1,0,0.0,"['spat', 'colstondead-ass', 'statue', 'today', 'felt', 'good']"
2019-11-30,0.021739130434782608,0.021739130434782608,1,0,0.0,"['put', 'statue', 'astor', 'amp', 'want', 'take', 'colston', 'r4today']"
2019-11-27,0.08152173913043478,0.08152173913043478,1,1,0.0,"['congratulations', 'scarlett', 'performance', 'historical', 'association', 'great', 'debate', 'tonight', 'placed', '3rd', 'strong', 'field', 'judges', 'praised', 'novel']"
2019-11-19,0.004524886877828055,0.004524886877828055,1,1,0.0,"['statue', 'histories', 'prof', 'daunton', 'colston', 'bristol', 'rhodes', 'oxford', 'rhodesmustfall', 'complex', 'legacies', 'eugenicists', 'figures', 'charles', 'dickens']"
2019-11-09,-0.06,-0.06,1,0,0.0,"['modern', 'day', 'slavery', 'art', 'installation', 'colston', 'statue']"
2019-10-27,-0.012048192771084338,-0.012048192771084338,1,0,0.0,"['listening', 'art', 'remembering', 'bridgetminamore', 'bit', 'shein', 'bristol', 'vanessa_kisuule', 'colston', 'statue', 'makes', 'sick', 'inot', 'even', 'black']"
2019-10-16,-0.02142857142857143,-0.02142857142857143,1,0,0.0,"['yes', 'gandhi', 'flawed', 'man', 'whose', 'achievement', 'remembered', 'itlike', 'colston', 'bristol', 'built', 'half', 'city', 'profits', 'slave']"
2019-10-12,-0.015957446808510637,-0.015957446808510637,1,0,0.0,"['name', 'robinson', 'shocking', 'history', 'bristol', 'prepared', 'years', 'ago', 'personally', 'wouldnerase', 'colston', 'remove', 'statue', 'yes', 'synonymous']"
2019-10-11,0.008130081300813009,0.008130081300813009,1,0,0.0,"['penny', 'cartwright', 'blogs', 'colston', 'statue', 'bristol', 'memorials', 'dark', 'tourism', 'anticipation', 'events', 'festival', 'future', 'city', '16-18']"
