,Datetime,Id,Link,Text,Retweets,Hashtags,Username,Geolocation
0,2020-06-24 23:59:36+00:00,1275941679502147586,https://twitter.com/NaughtyNephilim/status/1275941679502147586,"If he's from Ga, they would erect a statue of him. Those so called, ""Constitutional Patriots"" love celebrating treason and traitors like Robert E. Lee, Stonewall Jackson, and Ulysses Grant to name a few.",0,,NaughtyNephilim,
1,2020-06-24 22:30:42+00:00,1275919304370814977,https://twitter.com/seelolago/status/1275919304370814977,new artwork on Stonewall Jackson statue #blacklivesmatterrva,2,#blacklivesmatterrva,seelolago,
2,2020-06-24 22:29:18+00:00,1275918952552706060,https://twitter.com/dougwood57/status/1275918952552706060,"Pull down statues of rebel traitors like Nathan Bedford Forrest, Stonewall Jackson and Robert E. Lee. Leave the statue of a Union officer who fought and died to end slavery alone. Heg was a long-time abolitionist who sheltered Sherman Booth.",0,,dougwood57,
3,2020-06-24 22:23:09+00:00,1275917405542330376,https://twitter.com/benna_dan/status/1275917405542330376,"It's like a discussion at the gym yesterday. I was, ""well, I can see how the confederate flag symbolizes a hated regime & taking that teddy roosevelt statue away with the indian and the black guy. Stonewall Jackson doenst mean anything to me, I aint goona pretend he does."" Lol",0,,benna_dan,
4,2020-06-24 21:54:52+00:00,1275910286181097472,https://twitter.com/Sophiesticatio2/status/1275910286181097472,"If Dems win in Nov, Maerose Prizzi will be emulating Harry Reid: 'Well, he didn't win, did he?' BTW: Tell Nancy to tell Baltimore to take down the statue of her father, who told people to look to Robert E Lee &amp; Stonewall Jackson to learn how to uphold our 'sacred institutions.'",0,,Sophiesticatio2,
5,2020-06-24 21:25:56+00:00,1275903008287711240,https://twitter.com/richgcarr/status/1275903008287711240,"Because Lori that would have meant this was important. In 2015 after the Ferguson mess they tore down a statue of Stonewall Jackson. I knew from there it was a strait line to Jefferson, the only question I had was would these kooks include Washington. Now Lori there up to Jesus . ",0,,richgcarr,
6,2020-06-24 20:46:34+00:00,1275893100112732160,https://twitter.com/ncfm80/status/1275893100112732160,"Any tribute to slave owner Stonewall Jackson should be erased from history! If it is a statue, drinking establishment (bar), or whatever. It has no place in the USA upsetting those who were VICTIMS of racist slavery in this ""free"" country! ",0,,ncfm80,
7,2020-06-24 19:10:09+00:00,1275868835338485761,https://twitter.com/BeQueerDoCrime/status/1275868835338485761,"When somobody spray painted “Fire Chief Smith” on the base of Stonewall Jackson’s statue, they didn’t go on to say “and replace him with a murderer”. @LevarStoney, Fire Chief Blackwell. Fire yourself.",23,,BeQueerDoCrime,
8,2020-06-24 17:26:19+00:00,1275842704811982853,https://twitter.com/C_Black/status/1275842704811982853,"@JCarrollFoy said “My first year there, we began each early morning by saluting a statue of Confederate General Stonewall Jackson.” VMI should be ASHAMED! I hope they changed that process but how are you saluting and honoring a traitor &amp; loser! Unbelievable. Racism runs deep!",0,,C_Black,
9,2020-06-24 13:07:23+00:00,1275777540578254849,https://twitter.com/BloodyKp/status/1275777540578254849,"Naitonal Capital Area Director of NPS Lisa Mendelson-Ielmini: Remove 20ft Confederate ""Stonewall"" Jackson statue from Manassas National Battlefield Park - Sign the Petition! http://chng.it/42JJLRkX via @Change",0,,BloodyKp,
