Datetime,Id,Link,Text,Username,Retweets,Hashtags,Geolocation
2020-06-12 10:14:37+00:00,1271385407935127553,https://twitter.com/albyrfc/status/1271385407935127553,Wtf we just gonna buckle and take every statue down in the uk. Why don't we take down the government instead. Gutless fkn over paid pen pushers Glasgow's Duke of Wellington 'could be moved to statue graveyard' ,albyrfc,0,,
2020-06-12 09:39:57+00:00,1271376685280251909,https://twitter.com/Douglas12187885/status/1271376685280251909,If you statues down history can be forgotten until it is repeated ...isn’t it better to keep but comment on how we view them now See the irreverent traffic cone on top of Duke of Wellington statue in Glasgow,Douglas12187885,0,,
2020-06-12 09:39:49+00:00,1271376650299682816,https://twitter.com/Fairmaid49/status/1271376650299682816,This is what happened when the council in Glasgow tried to take the cone of Duke of Wellington’s statue in Glasgow ,Fairmaid49,0,,
2020-06-12 09:28:18+00:00,1271373751553347585,https://twitter.com/TrydarBot/status/1271373751553347585,"I may have inadvertently eaten horse meat from Tesco some years ago; I feel the mounted statue of the Duke of Wellington mocks my trauma. So instead of blaming Tesco or their suppliers, some cheap-burger-eating colleagues and I are going to vandalise the statue.",TrydarBot,0,,
2020-06-12 08:38:39+00:00,1271361258021888000,https://twitter.com/pkaston/status/1271361258021888000,"No George, the era of statues is over. Build a new museum,. The museum of statues. Where all the statue enthusiasts can view the statues during opening hours. Except the Duke of Wellington. He looks great with a traffic cone on his head.",pkaston,0,,
2020-06-12 07:44:30+00:00,1271347631999123456,https://twitter.com/JoeyBhoy54321/status/1271347631999123456,Not quite the Duke of Wellington statue but well done Kilmarnock for trying ,JoeyBhoy54321,1,,
2020-06-12 06:42:14+00:00,1271331961039015936,https://twitter.com/FUBARrockchick/status/1271331961039015936,Nicola.. Did ye dae it but... The Duke of Wellington statue now has a face mask to accompany his traffic cone ,FUBARrockchick,0,,
2020-06-12 06:08:49+00:00,1271323553669935104,https://twitter.com/MeOldChina64/status/1271323553669935104,The best way to belittle a statue? Take the piss. How Glasgow’s Duke Of Wellington Statue Got Its Traffic Cone via @culturetrip,MeOldChina64,0,,
2020-06-12 00:55:35+00:00,1271244724926644224,https://twitter.com/Tommy_Barrs/status/1271244724926644224,Another statue that needs protecting from these soap dodgers. The Duke of Wellington. ,Tommy_Barrs,0,,
2020-06-11 23:28:58+00:00,1271222924465311744,https://twitter.com/aliboomaye/status/1271222924465311744,Duke of Wellington statue. Some more info at ,aliboomaye,0,,
