,Datetime,Id,Link,Text,Retweets,Hashtags,Username,Geolocation
0,2020-06-05 12:11:56+00:00,1268878218066644993,https://twitter.com/RobertMerleJoh1/status/1268878218066644993,"Stirling Castle, Statue of King Robert the Bruce on the castle esplanade ",0,,RobertMerleJoh1,
1,2020-06-04 13:42:17+00:00,1268538568953270274,https://twitter.com/Lwilson12774523/status/1268538568953270274,I believe Lee was a descendant of Robert the Bruce and others who fought for Scotland at Bannockburn. Limited knowledge shows me an honourable man and great leader who fought for his homeland and people. His ancestors would have been proud. He deserves his statue.,0,,Lwilson12774523,
2,2020-05-28 18:44:18+00:00,1266077855684988934,https://twitter.com/aberdeentaxi1/status/1266077855684988934,Robert the Bruce statue. Barnard castle behind him.,1,,aberdeentaxi1,
3,2020-05-25 09:14:56+00:00,1264847408900517888,https://twitter.com/CharlesMcGuiga2/status/1264847408900517888,Beautiful sunset last night over Bannockburn and the statue of King Robert the Bruce. @VisitScotland @BeingScots @StormHour @POTW @AP_Magazine @practphoto @DPhotographer @Scottish_Banner @BBCScotWeather @STVWeather @BannockburnNTS @StirlingAWS @ScotsMagazine @OutdoorPhotoMag,25,,CharlesMcGuiga2,
4,2020-05-22 15:30:32+00:00,1263854765672411142,https://twitter.com/UndisScot/status/1263854765672411142,"Town Hall and statue of Robert the Bruce in the ancient town of Lochmaben in Dumfries &amp; Galloway, whose origins date back to the 1160s. A reminder there's a real world to dream about and to return to once our isolation is over. More pics and info: https://www.undiscoveredscotland.co.uk/lochmaben/lochmaben/index.html",4,,UndisScot,
5,2020-05-05 19:57:06+00:00,1257761259023486976,https://twitter.com/KELLYCLELLAND1/status/1257761259023486976,@Yulisha And a real men's fighting heroic freedom champion of democracy below at Bannockburn with King Robert The Bruce of Scotland statue there reminding you in #Moscow there Yulia that King Robert The Bruce of Scotland family also went to #Russia and fought on #Russian,0,#Moscow #Russia #Russian,KELLYCLELLAND1,
6,2020-05-04 22:43:36+00:00,1257440770321264641,https://twitter.com/SeveringFayth/status/1257440770321264641,my brother and his wife sent a package with Christmas presents that he couldn't give us last year. Mine is a little statue of Hedwig from Harry Potter. My parents got a nice looking sheep's wool blanket and two figurines one of which is of Robert the Bruce,0,,SeveringFayth,
7,2020-05-04 01:54:46+00:00,1257126491793612802,https://twitter.com/macfadyenangus/status/1257126491793612802,"#1 indie in USA for 2 weeks. Canada, where is that statue you have of Robert the Bruce standing? ",2,,macfadyenangus,
8,2020-04-29 10:25:48+00:00,1255443158198091777,https://twitter.com/l0uS81/status/1255443158198091777,We saw the statue of Robert the Bruce.,0,,l0uS81,
9,2020-04-26 15:10:36+00:00,1254427667941806080,https://twitter.com/ScottishWonders/status/1254427667941806080,"#Statue of Robert the Bruce on the castle esplanade, #Stirling #scottishwonders #Scotland #photography #fodaromovingimages #historicscotland #visitscotland #scotlandshots #scottishhistory #simplyscotland #thisisscotland #scotlandsbeauty #scotlandmagazine #loves_scotlan",1,#Statue #Stirling #scottishwonders #Scotland #photography #fodaromovingimages #historicscotland #visitscotland #scotlandshots #scottishhistory #simplyscotland #thisisscotland #scotlandsbeauty #scotlandmagazine #loves_scotlan,ScottishWonders,
10,2020-04-22 16:44:49+00:00,1253001826930171905,https://twitter.com/robertgibb69/status/1253001826930171905,Sunset at Robert the Bruce statue last night @BannockburnNTS @N_T_S @VisitScotland @stirlingcastle @TheWallaceMon @welovehistory @StirlingAWS @BannockburnHSE @BeingScots @ScotsMagazine @Scotland @Scottish_Banner @StormHour @scotlandinspire @welcomescotland #StaySafe,26,#StaySafe,robertgibb69,
11,2020-04-21 22:06:19+00:00,1252720344357654534,https://twitter.com/robertgibb69/status/1252720344357654534,"Kepler enjoying tonight’s sunset at Robert the Bruce statue,Bannockburn @BannockburnNTS @N_T_S @VisitScotland @welovehistory @StirlingAWS @stirlingcastle @BeingScots @Scotland @welcomescotland",7,,robertgibb69,
12,2020-04-19 10:36:46+00:00,1251822037502492677,https://twitter.com/wallace_euan/status/1251822037502492677,Wallace monument in background with statue of Robert the Bruce.,0,,wallace_euan,
13,2020-04-18 08:28:21+00:00,1251427332180541440,https://twitter.com/vivstan211240/status/1251427332180541440,"Have a stern, authoritarian #WorldHeritageDay! Regards, The Robert the Bruce statue outside Edinburgh Castle #DYK Edinburgh Old &amp; New Towns are one of six World Heritage sites in Scotland?",5,#WorldHeritageDay #DYK,vivstan211240,
14,2020-04-13 09:34:42+00:00,1249632090208874497,https://twitter.com/ChineseTakaver/status/1249632090208874497,"This is a statue of Robert the Bruce. In the Battle of Bannockburn, he called 999 on Edward II. ",0,,ChineseTakaver,
15,2020-04-10 16:09:49+00:00,1248644364097794055,https://twitter.com/PipesofXmas/status/1248644364097794055,"Sculpted by Andrew Currie, along with the statue of Robert the Bruce at Stirling Castle.",1,,PipesofXmas,
16,2020-04-08 10:56:49+00:00,1247840818158854145,https://twitter.com/scotgardener/status/1247840818158854145,You have s Robert the Bruce statue as a picture. Yet lecture others on obsession with wars. Narcissism indeed.,0,,scotgardener,
17,2020-04-06 21:16:48+00:00,1247272066996482056,https://twitter.com/tourscotland/status/1247272066996482056,"Tour #Scotland travel Blog video of the statue of #King #Robert the #Bruce on ancestry, genealogy, family history visit to the battlefield at #Bannockburn by #Stirling Battle was a significant #Scots victory in Wars of Scottish #Independence with #England https://tour-scotland-photographs.blogspot.com/2015/11/tour-scotland-video-king-robert-bruce.html",3,#Scotland #King #Robert #Bruce #Bannockburn #Stirling #Scots #Independence #England,tourscotland,
18,2020-04-06 21:09:14+00:00,1247270161708703747,https://twitter.com/tourscotland/status/1247270161708703747,"Tour #Scotland Travel Blog video of the #Declaration of #Arbroath Statue on ancestry, genealogy, #Scottish family roots history visit to #Arbroath, #Angus depicts #Robert the #Bruce and #Bernard #De #Linton holding famous Declaration of Arbroath #Freedom https://tour-scotland-photographs.blogspot.com/2016/03/tour-scotland-video-declaration-of.html",2,#Scotland #Declaration #Arbroath #Scottish #Arbroath #Angus #Robert #Bruce #Bernard #De #Linton #Freedom,tourscotland,
19,2020-04-06 19:04:12+00:00,1247238694685282310,https://twitter.com/KevinStewartSNP/status/1247238694685282310,"On this the 700th Anniversary of the Declaration of Arbroath, I give you a picture of Robert the Bruce holding the 1319 Aberdeen Feu Farm Charter. I am proud of this statue created by Alan Beattie Herriot as it was a council motion from me that led to its creation. ",17,,KevinStewartSNP,
20,2020-04-02 13:13:55+00:00,1245700991439319045,https://twitter.com/DriftContinent/status/1245700991439319045,Our Robert the Bruce statue agrees ,0,,DriftContinent,
21,2020-04-02 09:53:54+00:00,1245650659182915589,https://twitter.com/cityof_stirling/status/1245650659182915589,"Robert the Bruce, King of Scots statue at the Bannockburn experience Pic by Dakota Images Scotland ",3,,cityof_stirling,
22,2020-04-01 07:13:58+00:00,1245248020003815424,https://twitter.com/thewhitespike/status/1245248020003815424,"I think Robert the Bruce spoke French too. I just liked the statue. Everybody seems to have it in for him, poor man.",0,,thewhitespike,
23,2020-03-30 21:02:07+00:00,1244731655799144448,https://twitter.com/Antoinette_i22/status/1244731655799144448,#Outlander(s) Had to share - Totally did a double take W W ... @SamHeughan has mentioned in the past as a boy he’d pretend play at being Robert the Bruce. Past life surfacing ? ...... the statue is beautiful. #ScotlandIsNow @welovehistory https://twitter.com/welovehistory/status/1242829863955968007,1,#Outlander #ScotlandIsNow,Antoinette_i22,
24,2020-03-25 15:25:09+00:00,1242834916821393410,https://twitter.com/edinburghcastle/status/1242834916821393410,"Robert the Bruce was crowned King of Scots on this day in 1306. The bronze statue of him was set into the outside façade in 1929 to mark the 600th anniversary of his passing. He urges you to #StayHome, stay safe and enjoy history online with us.",23,#StayHome #StayHome,edinburghcastle,
25,2020-03-25 10:15:09+00:00,1242756901584146433,https://twitter.com/stirlingcastle/status/1242756901584146433,"A nod to Robert the Bruce whose statue is proudly standing on our esplanade to this day and who was crowned King of Scots #OTD in 1306. And a virtual wave to our friends at @TheWallaceMon, who are just the right distance away ",108,#OTD,stirlingcastle,
26,2020-03-20 14:44:58+00:00,1241012864447655936,https://twitter.com/_SPQR___/status/1241012864447655936,Robert the Bruce statue as picture? Found the racist,0,,_SPQR___,
27,2020-03-16 15:51:46+00:00,1239580125089406977,https://twitter.com/ScotlandAbout/status/1239580125089406977,Robert the Bruce statue at @stirlingcastle @StirlingAWS @Stirlingcouk @cityof_stirling @StirlingHoliday @WhatOnStirling @VisitScotland @welovehistory @HistEnvScot #Scotland @Scotland #visitscotland #lovescotland – at Stirling Castle,4,#Scotland #visitscotland #lovescotland,ScotlandAbout,
