,Datetime,Id,Link,Text,Retweets,Hashtags,Username,Geolocation
0,2020-07-25 19:36:36+00:00,1287109515113115648,https://twitter.com/chriscurtis94/status/1287109515113115648,Not sure if you can get one to balance on top of the Duke of Wellington statue though.,0,,chriscurtis94,
1,2020-07-25 18:54:53+00:00,1287099018104000513,https://twitter.com/DarylSheret/status/1287099018104000513,I kind of want a tattoo of the Duke of Wellington statue... Cone included.,0,,DarylSheret,
2,2020-07-21 20:02:15+00:00,1285666421196894208,https://twitter.com/GeoffreyHill98/status/1285666421196894208,Me n my Great-grandad stood in front of the Duke of Wellington statue near Hyde Park #hydepark #dukeofwellington #80yearslater,0,#hydepark #dukeofwellington #80yearslater,GeoffreyHill98,
3,2020-07-21 01:10:07+00:00,1285381509608878080,https://twitter.com/welfordwrites/status/1285381509608878080,"The statue of Achilles, Hyde Park, London. This bronze of a near-naked warrior (who has nothing to do with Achilles) would seem to have been a strange tribute to the Duke of Wellington from the women of Britain. Click the link! http://dld.bz/fKXKJ",1,,welfordwrites,
